Race,Driver,AvgPosition
Abu Dhabi Grand Prix,ALB,13.5
Abu Dhabi Grand Prix,ALO,7.666666666666667
Abu Dhabi Grand Prix,ANT,15.0
Abu Dhabi Grand Prix,BEA,12.0
Abu Dhabi Grand Prix,BOR,11.0
Abu Dhabi Grand Prix,BOT,12.0
Abu Dhabi Grand Prix,COL,19.5
Abu Dhabi Grand Prix,DOO,15.0
Abu Dhabi Grand Prix,GAS,10.333333333333334
Abu Dhabi Grand Prix,GIO,17.0
Abu Dhabi Grand Prix,HAD,17.0
Abu Dhabi Grand Prix,HAM,4.666666666666667
Abu Dhabi Grand Prix,HUL,8.5
Abu Dhabi Grand Prix,LAT,16.0
Abu Dhabi Grand Prix,LAW,17.5
Abu Dhabi Grand Prix,LEC,5.666666666666667
Abu Dhabi Grand Prix,MAG,16.0
Abu Dhabi Grand Prix,MSC,14.0
Abu Dhabi Grand Prix,NOR,3.6666666666666665
Abu Dhabi Grand Prix,OCO,8.0
Abu Dhabi Grand Prix,PER,17.5
Abu Dhabi Grand Prix,PIA,6.0
Abu Dhabi Grand Prix,RAI,19.0
Abu Dhabi Grand Prix,RIC,12.0
Abu Dhabi Grand Prix,RUS,9.333333333333334
Abu Dhabi Grand Prix,SAI,6.0
Abu Dhabi Grand Prix,STR,12.333333333333334
Abu Dhabi Grand Prix,TSU,10.0
Abu Dhabi Grand Prix,VER,2.6666666666666665
Abu Dhabi Grand Prix,VET,11.0
Abu Dhabi Grand Prix,ZHO,13.0
Australian Grand Prix,ALB,8.666666666666666
Australian Grand Prix,ALO,14.0
Australian Grand Prix,ANT,4.0
Australian Grand Prix,BEA,14.0
Australian Grand Prix,BOR,16.0
Australian Grand Prix,BOT,11.0
Australian Grand Prix,DOO,19.0
Australian Grand Prix,GAS,11.0
Australian Grand Prix,HAD,20.0
Australian Grand Prix,HAM,10.666666666666666
Australian Grand Prix,HUL,8.0
Australian Grand Prix,LAT,16.0
Australian Grand Prix,LAW,15.0
Australian Grand Prix,LEC,3.6666666666666665
Australian Grand Prix,MAG,12.0
Australian Grand Prix,MSC,13.0
Australian Grand Prix,NOR,3.0
Australian Grand Prix,OCO,12.0
Australian Grand Prix,PER,3.5
Australian Grand Prix,PIA,6.5
Australian Grand Prix,RIC,9.0
Australian Grand Prix,RUS,7.666666666666667
Australian Grand Prix,SAI,13.0
Australian Grand Prix,STR,8.0
Australian Grand Prix,TSU,11.333333333333334
Australian Grand Prix,VER,13.0
Australian Grand Prix,VET,19.0
Australian Grand Prix,ZHO,13.0
Austrian Grand Prix,ALB,14.666666666666666
Austrian Grand Prix,ALO,11.25
Austrian Grand Prix,ANT,19.0
Austrian Grand Prix,BEA,11.0
Austrian Grand Prix,BOR,8.0
Austrian Grand Prix,BOT,9.0
Austrian Grand Prix,COL,15.0
Austrian Grand Prix,GAS,11.75
Austrian Grand Prix,GIO,14.0
Austrian Grand Prix,HAD,12.0
Austrian Grand Prix,HAM,3.75
Austrian Grand Prix,HUL,7.5
Austrian Grand Prix,LAT,17.5
Austrian Grand Prix,LAW,6.0
Austrian Grand Prix,LEC,5.75
Austrian Grand Prix,MAG,8.0
Austrian Grand Prix,MAZ,19.0
Austrian Grand Prix,MSC,12.0
Austrian Grand Prix,NOR,7.75
Austrian Grand Prix,OCO,11.75
Austrian Grand Prix,PER,11.0
Austrian Grand Prix,PIA,2.0
Austrian Grand Prix,RAI,15.0
Austrian Grand Prix,RIC,8.333333333333334
Austrian Grand Prix,RUS,5.25
Austrian Grand Prix,SAI,11.5
Austrian Grand Prix,SAR,19.0
Austrian Grand Prix,STR,13.25
Austrian Grand Prix,TSU,14.5
Austrian Grand Prix,VER,6.5
Austrian Grand Prix,VET,17.0
Austrian Grand Prix,ZHO,15.5
Azerbaijan Grand Prix,ALB,10.666666666666666
Azerbaijan Grand Prix,ALO,8.5
Azerbaijan Grand Prix,ANT,4.0
Azerbaijan Grand Prix,BEA,11.0
Azerbaijan Grand Prix,BOR,11.0
Azerbaijan Grand Prix,BOT,13.0
Azerbaijan Grand Prix,COL,13.5
Azerbaijan Grand Prix,GAS,9.5
Azerbaijan Grand Prix,GIO,11.0
